PassengerId,Survived
688,0
206,0
252,0
34,0
57,1
67,1
71,0
85,1
220,0
227,1
235,0
239,0
243,0
266,0
399,0
440,0
459,1
517,1
527,1
571,1
620,0
673,0
718,1
773,0
813,0
842,0
884,0
883,0
9,1
173,1
870,1
40,1
126,1
145,0
530,0
758,0
862,0
390,1
240,0
480,1
304,1
323,1
627,0
80,1
752,1
778,1
824,1
151,0
400,1
293,0
18,1
22,1
124,1
135,0
150,0
179,0
191,1
192,0
200,0
214,0
222,0
229,0
289,1
328,1
343,0
344,0
345,0
346,1
347,1
358,0
388,1
418,1
419,0
444,1
464,0
577,1
636,1
659,0
667,0
674,1
715,0
723,0
724,0
734,0
735,0
748,1
796,0
801,0
809,0
865,0
866,1
887,0
692,1
233,0
563,0
696,0
707,1
474,1
867,1
548,1
318,0
861,0
424,0
617,0
74,0
112,0
241,0
363,0
621,0
703,0
831,1
115,0
496,0
579,0
133,0
154,0
248,1
539,0
576,0
756,1
761,0
587,0
136,0
182,0
498,0
66,1
141,0
256,1
710,1
853,0
47,0
187,1
189,0
242,1
365,0
613,1
658,0
719,0
606,0
382,1
623,1
162,1
86,1
143,1
207,0
404,0
349,1
490,1
16,1
161,0
254,0
348,1
432,1
618,0
625,0
640,0
736,0
744,0
11,1
395,1
560,1
50,0
354,0
19,0
39,0
334,0
408,1
438,1
832,1
208,1
732,0
449,1
470,1
645,1
859,1
273,1
447,1
452,0
491,0
255,0
425,0
280,1
747,0
166,1
329,1
549,0
94,0
789,1
42,0
118,0
212,1
406,0
477,0
727,1
8,0
25,0
375,0
568,0
49,0
185,1
129,1
534,1
509,0
99,1
652,1
751,1
775,1
302,1
331,1
784,0
889,0
309,0
875,1
110,1
420,0
518,0
566,0
596,0
769,0
800,0
812,0
177,0
230,0
410,0
486,0
663,0
169,0
797,1
863,1
21,0
54,1
100,0
134,1
149,0
194,1
237,0
250,0
260,1
285,0
313,0
317,1
341,1
398,0
427,1
428,1
433,1
507,1
519,1
531,1
544,1
546,0
547,1
552,0
583,0
595,0
706,0
729,0
792,0
855,0
881,1
238,1
315,0
441,1
536,1
638,0
802,1
137,1
513,1
702,1
708,1
573,1
12,1
188,1
253,0
431,1
448,1
457,0
461,1
468,0
508,1
537,0
556,0
605,1
695,0
712,0
858,1
218,0
601,1
31,0
65,0
195,1
296,0
362,0
59,1
451,0
453,0
473,1
64,0
168,0
361,0
635,0
643,0
820,0
332,0
178,0
79,1
324,1
17,0
172,0
279,0
788,0
886,0
274,0
488,0
840,1
581,1
631,1
741,1
783,0
888,1
890,1
10,1
123,0
299,1
450,1
493,0
608,1
633,1
175,0
794,0
210,1
271,0
843,1
14,0
120,0
542,0
543,0
611,0
814,0
851,0
26,1
183,0
234,1
262,1
626,0
417,1
597,1
721,1
849,0
171,0
516,0
87,0
148,0
437,0
737,0
97,0
352,0
24,1
56,1
340,0
648,1
146,0
550,1
818,0
828,1
463,0
184,1
619,1
671,1
685,0
854,1
557,1
767,0
51,0
165,0
267,0
639,0
687,0
825,0
584,0
44,1
609,1
686,0
603,0
60,0
72,0
387,0
481,0
679,0
684,0
84,0
540,1
494,0
711,1
186,0
868,0
572,1
7,0
458,1
36,0
111,0
384,1
476,0
670,1
672,0
713,1
249,1
622,1
872,1
4,1
138,0
725,1
749,0
810,1
167,1
357,1
371,1
435,0
